"list_name","name","label","prov_id","dist_id","posto_id","com_id","assoc_id"
"provinces","P10","Maputo","","","","",""
"provinces","P09","Gaza","","","","",""
"provinces","P08","Inhambane","","","","",""
"provinces","P07","Sofala","","","","",""
"provinces","P04","Zambezia","","","","",""
"provinces","P06","Manica","","","","",""
"provinces","P05","Tete","","","","",""
"provinces","P03","Nampula","","","","",""
"provinces","P02","Cabo Delgado","","","","",""
"provinces","P01","Niassa","","","","",""
"","","","","","","",""
"districts","D0102","CUAMBA","P01","NIASSA","","",""
"districts","D0103","LAGO","P01","NIASSA","","",""
"districts","D0104","LICHINGA","P01","NIASSA","","",""
"districts","D0105","MAJUNE","P01","NIASSA","","",""
"districts","D0106","MANDIMBA","P01","NIASSA","","",""
"districts","D0107","MARRUPA","P01","NIASSA","","",""
"districts","D0108","MAUA","P01","NIASSA","","",""
"districts","D0109","MAVAGO","P01","NIASSA","","",""
"districts","D0110","MECANHELAS","P01","NIASSA","","",""
"districts","D0111","MECULA","P01","NIASSA","","",""
"districts","D0112","METARICA","P01","NIASSA","","",""
"districts","D0113","MUEMBE","P01","NIASSA","","",""
"districts","D0114","N'GAUMA","P01","NIASSA","","",""
"districts","D0115","NIPEPE","P01","NIASSA","","",""
"districts","D0116","SANGA","P01","NIASSA","","",""
"districts","D0202","ANCUABE","P02","C.DELGADO","","",""
"districts","D0203","BALAMA","P02","C.DELGADO","","",""
"districts","D0204","CHIURE","P02","C.DELGADO","","",""
"districts","D0205","IBO","P02","C.DELGADO","","",""
"districts","D0206","MACOMIA","P02","C.DELGADO","","",""
"districts","D0207","MECUFI","P02","C.DELGADO","","",""
"districts","D0208","MELUCO","P02","C.DELGADO","","",""
"districts","D0209","MOCIMBOA","P02","C.DELGADO","","",""
"districts","D0210","MONTEPUEZ","P02","C.DELGADO","","",""
"districts","D0211","MUEDA","P02","C.DELGADO","","",""
"districts","D0212","MUIDUMBE","P02","C.DELGADO","","",""
"districts","D0213","NAMUNO","P02","C.DELGADO","","",""
"districts","D0214","NANGADE","P02","C.DELGADO","","",""
"districts","D0215","PALMA","P02","C.DELGADO","","",""
"districts","D0216","PEMBA_METUGE","P02","C.DELGADO","","",""
"districts","D0217","QUISSANGA","P02","C.DELGADO","","",""
"districts","D0302","ANGOCHE","P03","NAMPULA","","",""
"districts","D0303","NAMAPA_ERATI","P03","NAMPULA","","",""
"districts","D0304","ILHA DE MOCAMBIQUE","P03","NAMPULA","","",""
"districts","D0305","LALAUA","P03","NAMPULA","","",""
"districts","D0306","MALEMA","P03","NAMPULA","","",""
"districts","D0307","MECONTA","P03","NAMPULA","","",""
"districts","D0308","MECUBURI","P03","NAMPULA","","",""
"districts","D0309","MEMBA","P03","NAMPULA","","",""
"districts","D0310","MOGINCUAL","P03","NAMPULA","","",""
"districts","D0311","MOGOVOLAS","P03","NAMPULA","","",""
"districts","D0312","MOMA","P03","NAMPULA","","",""
"districts","D0313","MONAPO","P03","NAMPULA","","",""
"districts","D0314","MOSSURIL","P03","NAMPULA","","",""
"districts","D0315","MUECATE","P03","NAMPULA","","",""
"districts","D0316","MURRUPULA","P03","NAMPULA","","",""
"districts","D0318","NACALA_VELHA","P03","NAMPULA","","",""
"districts","D0319","NACAROA","P03","NAMPULA","","",""
"districts","D0320","RAPALE_NAMPULA","P03","NAMPULA","","",""
"districts","D0321","RIBAUE","P03","NAMPULA","","",""
"districts","D0402","ALTO MOLOCUE","P04","ZAMBEZIA","","",""
"districts","D0403","CHINDE","P04","ZAMBEZIA","","",""
"districts","D0404","GILE","P04","ZAMBEZIA","","",""
"districts","D0405","GURUE","P04","ZAMBEZIA","","",""
"districts","D0406","ILE","P04","ZAMBEZIA","","",""
"districts","D0407","INHASSUNGE","P04","ZAMBEZIA","","",""
"districts","D0408","LUGELA","P04","ZAMBEZIA","","",""
"districts","D0409","MAGANJA DA COSTA","P04","ZAMBEZIA","","",""
"districts","D0410","MILANGE","P04","ZAMBEZIA","","",""
"districts","D0411","MOCUBA","P04","ZAMBEZIA","","",""
"districts","D0412","MOPEIA","P04","ZAMBEZIA","","",""
"districts","D0413","MORRUMBALA","P04","ZAMBEZIA","","",""
"districts","D0414","NAMACURRA","P04","ZAMBEZIA","","",""
"districts","D0415","NAMAROI","P04","ZAMBEZIA","","",""
"districts","D0416","NICOADALA","P04","ZAMBEZIA","","",""
"districts","D0417","PEBANE","P04","ZAMBEZIA","","",""
"districts","D0418","DERRE","P04","ZAMBEZIA","","",""
"districts","D0419","MOCUBELA","P04","ZAMBEZIA","","",""
"districts","D0420","MOLUMBO","P04","ZAMBEZIA","","",""
"districts","D0421","MULEVALA","P04","ZAMBEZIA","","",""
"districts","D0422","QUELIMANE","P04","ZAMBEZIA","","",""
"districts","D0423","LUABO","P04","ZAMBEZIA","","",""
"districts","D0502","ANGONIA","P05","TETE","","",""
"districts","D0503","CAHORA_BASSA","P05","TETE","","",""
"districts","D0504","CHANGARA","P05","TETE","","",""
"districts","D0505","CHIFUNDE","P05","TETE","","",""
"districts","D0506","CHIUTA","P05","TETE","","",""
"districts","D0507","MACANGA","P05","TETE","","",""
"districts","D0508","MAGOE","P05","TETE","","",""
"districts","D0509","MARAVIA","P05","TETE","","",""
"districts","D0510","MOATIZE","P05","TETE","","",""
"districts","D0511","MUTARARA","P05","TETE","","",""
"districts","D0512","TSANGANO","P05","TETE","","",""
"districts","D0513","ZUMBO","P05","TETE","","",""
"districts","D0602","BARUE","P06","MANICA","","",""
"districts","D0603","GONDOLA","P06","MANICA","","",""
"districts","D0604","GURO","P06","MANICA","","",""
"districts","D0605","MACHAZE","P06","MANICA","","",""
"districts","D0606","MACOSSA","P06","MANICA","","",""
"districts","D0607","MANICA","P06","MANICA","","",""
"districts","D0608","MOSSURIZE","P06","MANICA","","",""
"districts","D0609","SUSSUNDENGA","P06","MANICA","","",""
"districts","D0610","TAMBARA","P06","MANICA","","",""
"districts","D0702","BUZI","P07","SOFALA","","",""
"districts","D0703","CAIA","P07","SOFALA","","",""
"districts","D0704","CHEMBA","P07","SOFALA","","",""
"districts","D0705","CHERINGOMA","P07","SOFALA","","",""
"districts","D0706","CHIBABAVA","P07","SOFALA","","",""
"districts","D0707","DONDO","P07","SOFALA","","",""
"districts","D0708","GORONGOSA","P07","SOFALA","","",""
"districts","D0709","MACHANGA","P07","SOFALA","","",""
"districts","D0710","MARINGUE","P07","SOFALA","","",""
"districts","D0711","MARROMEU","P07","SOFALA","","",""
"districts","D0712","MUANZA","P07","SOFALA","","",""
"districts","D0713","NHAMATANDA","P07","SOFALA","","",""
"districts","D0802","FUNHALOURO","P08","INHAMBANE","","",""
"districts","D0803","GOVURO","P08","INHAMBANE","","",""
